Total Testcases,152

CWE-Name,Testcases CWE Appeared In,Co-Occurring CWE,Testcases where CWE co-occurred,Percentage of co-occuring CWE in testcases
CWE-20,5,CWE-78,1,20.00%
CWE-20,5,CWE-94,4,80.00%
CWE-20,5,CWE-215,4,80.00%
CWE-20,5,CWE-489,4,80.00%
CWE-20,5,CWE-601,3,60.00%
CWE-22,19,CWE-23,7,36.84%
CWE-22,19,CWE-36,7,36.84%
CWE-22,19,CWE-73,7,36.84%
CWE-22,19,CWE-78,2,10.53%
CWE-22,19,CWE-79,1,5.26%
CWE-22,19,CWE-88,1,5.26%
CWE-22,19,CWE-94,6,31.58%
CWE-22,19,CWE-99,7,36.84%
CWE-22,19,CWE-116,1,5.26%
CWE-22,19,CWE-209,2,10.53%
CWE-22,19,CWE-215,6,31.58%
CWE-22,19,CWE-259,2,10.53%
CWE-22,19,CWE-377,4,21.05%
CWE-22,19,CWE-489,6,31.58%
CWE-22,19,CWE-497,2,10.53%
CWE-22,19,CWE-502,1,5.26%
CWE-22,19,CWE-601,1,5.26%
CWE-22,19,CWE-611,1,5.26%
CWE-22,19,CWE-827,1,5.26%
CWE-23,7,CWE-22,7,100.00%
CWE-23,7,CWE-36,7,100.00%
CWE-23,7,CWE-73,7,100.00%
CWE-23,7,CWE-78,2,28.57%
CWE-23,7,CWE-79,1,14.29%
CWE-23,7,CWE-88,1,14.29%
CWE-23,7,CWE-94,6,85.71%
CWE-23,7,CWE-99,7,100.00%
CWE-23,7,CWE-116,1,14.29%
CWE-23,7,CWE-209,2,28.57%
CWE-23,7,CWE-215,6,85.71%
CWE-23,7,CWE-259,2,28.57%
CWE-23,7,CWE-489,6,85.71%
CWE-23,7,CWE-497,2,28.57%
CWE-23,7,CWE-502,1,14.29%
CWE-23,7,CWE-601,1,14.29%
CWE-23,7,CWE-611,1,14.29%
CWE-23,7,CWE-827,1,14.29%
CWE-36,7,CWE-22,7,100.00%
CWE-36,7,CWE-23,7,100.00%
CWE-36,7,CWE-73,7,100.00%
CWE-36,7,CWE-78,2,28.57%
CWE-36,7,CWE-79,1,14.29%
CWE-36,7,CWE-88,1,14.29%
CWE-36,7,CWE-94,6,85.71%
CWE-36,7,CWE-99,7,100.00%
CWE-36,7,CWE-116,1,14.29%
CWE-36,7,CWE-209,2,28.57%
CWE-36,7,CWE-215,6,85.71%
CWE-36,7,CWE-259,2,28.57%
CWE-36,7,CWE-489,6,85.71%
CWE-36,7,CWE-497,2,28.57%
CWE-36,7,CWE-502,1,14.29%
CWE-36,7,CWE-601,1,14.29%
CWE-36,7,CWE-611,1,14.29%
CWE-36,7,CWE-827,1,14.29%
CWE-73,7,CWE-22,7,100.00%
CWE-73,7,CWE-23,7,100.00%
CWE-73,7,CWE-36,7,100.00%
CWE-73,7,CWE-78,2,28.57%
CWE-73,7,CWE-79,1,14.29%
CWE-73,7,CWE-88,1,14.29%
CWE-73,7,CWE-94,6,85.71%
CWE-73,7,CWE-99,7,100.00%
CWE-73,7,CWE-116,1,14.29%
CWE-73,7,CWE-209,2,28.57%
CWE-73,7,CWE-215,6,85.71%
CWE-73,7,CWE-259,2,28.57%
CWE-73,7,CWE-489,6,85.71%
CWE-73,7,CWE-497,2,28.57%
CWE-73,7,CWE-502,1,14.29%
CWE-73,7,CWE-601,1,14.29%
CWE-73,7,CWE-611,1,14.29%
CWE-73,7,CWE-827,1,14.29%
CWE-78,49,CWE-20,1,2.04%
CWE-78,49,CWE-22,2,4.08%
CWE-78,49,CWE-23,2,4.08%
CWE-78,49,CWE-36,2,4.08%
CWE-78,49,CWE-73,2,4.08%
CWE-78,49,CWE-79,10,20.41%
CWE-78,49,CWE-88,10,20.41%
CWE-78,49,CWE-94,43,87.76%
CWE-78,49,CWE-95,11,22.45%
CWE-78,49,CWE-99,2,4.08%
CWE-78,49,CWE-116,20,40.82%
CWE-78,49,CWE-209,30,61.22%
CWE-78,49,CWE-215,42,85.71%
CWE-78,49,CWE-259,12,24.49%
CWE-78,49,CWE-489,42,85.71%
CWE-78,49,CWE-497,30,61.22%
CWE-78,49,CWE-601,3,6.12%
CWE-78,49,CWE-605,2,4.08%
CWE-79,39,CWE-22,1,2.56%
CWE-79,39,CWE-23,1,2.56%
CWE-79,39,CWE-36,1,2.56%
CWE-79,39,CWE-73,1,2.56%
CWE-79,39,CWE-78,10,25.64%
CWE-79,39,CWE-88,2,5.13%
CWE-79,39,CWE-94,33,84.62%
CWE-79,39,CWE-95,1,2.56%
CWE-79,39,CWE-99,1,2.56%
CWE-79,39,CWE-116,39,100.00%
CWE-79,39,CWE-209,19,48.72%
