Overall CWEs: 2209
After scanner feedback: 663

Appearing CWEs before vs after feeding back scanner results to the models:
CWE-78: 437 -> 283
CWE-20: 221 -> 4
CWE-94: 177 -> 2
CWE-215: 138 -> 2
CWE-489: 138 -> 2
CWE-259: 111 -> 18
CWE-116: 106 -> 29
CWE-502: 99 -> 7
CWE-209: 79 -> 25
CWE-497: 79 -> 25
CWE-79: 75 -> 29
CWE-22: 55 -> 41
CWE-601: 52 -> 48
CWE-611: 42 -> 1
CWE-827: 42 -> 1
CWE-312: 39 -> 15
CWE-359: 39 -> 15
CWE-315: 36 -> 13
CWE-95: 31 -> 0
CWE-327: 27 -> 10
CWE-295: 22 -> 4
CWE-328: 21 -> 10
CWE-916: 21 -> 10
CWE-88: 20 -> 15
CWE-89: 16 -> 15
CWE-377: 15 -> 5
CWE-23: 10 -> 6
CWE-36: 10 -> 6
CWE-73: 10 -> 6
CWE-99: 10 -> 6
CWE-703: 7 -> 5
CWE-400: 6 -> 1
CWE-330: 6 -> 0
CWE-605: 3 -> 0
CWE-532: 3 -> 2
CWE-319: 3 -> 0
CWE-1333: 1 -> 1
CWE-730: 1 -> 1
CWE-732: 1 -> 0
